Username,link,Type,Status,Script ,Account,Notes,,,reply rate ,%
pinto_justine,https://www.instagram.com/pinto_justine?igsh=MWZvcWxmYjBmc29law==,small creator ,Signed,Script 2,alexxisalmc,,,,,
kylia2ne,https://www.instagram.com/kylia2ne?igsh=MXA0NXRjbDRyaHU3MA==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
elinaxb_,https://www.instagram.com/elinaxb_?igsh=aTZ4ajJiaHV4dnFu,small creator ,Sent,Script 2,alexxisalmc,,,,,
lya_mtss,https://www.instagram.com/lya_mtss?igsh=d2dxMGY2YTd2ajZp,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
lenafrdz,https://www.instagram.com/lenafrdz?igsh=MWt2NmM2Znpqdjg4MQ==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
xwwa.zg,https://www.instagram.com/xwwa.zg?igsh=NGdtOTZqMDUyNjhv,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
elsklp,https://www.instagram.com/elsklp?igsh=MXNwcGtycHBxc2NybQ==,small creator ,Sent,Script 2,alexxisalmc,,,,,
tchikiizz,https://www.instagram.com/tchikiizz?igsh=NHYzdWp0Y2Z0N3Zv,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
sasaa.672,https://www.instagram.com/sasaa.672?igsh=MWhqcnQ5d3Jwc2loZA==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
_narccisa__,https://www.instagram.com/_narccisa__?igsh=MXZwcTRpOHp5NjBycQ==,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
rmadolll,https://www.instagram.com/rmadolll?igsh=c3NwN2N1YXo3eDB6,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
clara_dbt17,https://www.instagram.com/clara_dbt17?igsh=MWd3dXkwa2EzOXY3dQ==,small creator ,Sent,Script 2,alexxisalmc,,,,,
_kass_r,https://www.instagram.com/_kass_r?igsh=MWM1MXVoMXVxdjBpMw==,small creator ,Sent,Script 2,alexxisalmc,,,,,
leanemva,https://www.instagram.com/leanemva?igsh=cnZuNzk1MXM3b3c4,small creator ,Sent,Script 2,alexxisalmc,,,,,
usxrraa,https://www.instagram.com/usxrraa?igsh=M3lkM3ZkZGRyOHZ1,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
mxgotloeb,https://www.instagram.com/mxgotloeb?igsh=OTVqZm12MTR2bGQ4,small creator ,Sent,Script 2,alexxisalmc,,,,,
alyssaclin,https://www.instagram.com/alyssaclin?igsh=aWJkNzdrd3RleHJ5,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
nxrh_2,https://www.instagram.com/nxrh_2?igsh=MTZ2OXlndHIxaTl1dA==,small creator ,Sent,Script 2,alexxisalmc,,,,,
imac_mini_,https://www.instagram.com/imac_mini_?igsh=MXBqcnNsMjg1ejYwaQ==,small creator ,Sent,Script 2,alexxisalmc,,,,,
2coupelse,https://www.instagram.com/2coupelse?igsh=OWI2cG5qNDkzN3pz,small creator ,Talking - Cold,Script 2,alexxisalmc,,,,,
arbenita.mj,https://www.instagram.com/arbenita.mj?igsh=MXMwZTgyd2hwYzdqZw==,small creator ,Sent,Script 2,alexxisalmc,,,,,
evasterpin,https://www.instagram.com/evasterpin?igsh=NDlkN2Fmd3E5cGMx,small creator ,Sent,Script 2,alexxisalmc,,,,,
